freq,psd_x,psd_y,psd_z,psd_xyz,zv(69.8),mzv(70.2),ei(84.8),2hump_ei(104.4),3hump_ei(125.4)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.996,0.995,0.994,0.993,0.992
3.2,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.991,0.988,0.986,0.984,0.982
4.7,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.985,0.979,0.977,0.973,0.970
6.3,2.440e+01,5.778e+01,1.311e+01,9.529e+01,0.978,0.969,0.966,0.960,0.956
7.9,2.115e+01,6.518e+01,1.041e+01,9.674e+01,0.969,0.958,0.954,0.945,0.940
9.5,1.836e+01,6.772e+01,9.528e+00,9.561e+01,0.960,0.945,0.939,0.929,0.923
11.0,1.593e+01,7.009e+01,8.185e+00,9.420e+01,0.949,0.931,0.924,0.912,0.904
12.6,1.492e+01,7.214e+01,6.586e+00,9.364e+01,0.937,0.915,0.907,0.893,0.884
14.2,1.513e+01,7.657e+01,5.926e+00,9.762e+01,0.924,0.898,0.889,0.872,0.862
15.8,1.502e+01,8.268e+01,5.362e+00,1.031e+02,0.910,0.880,0.869,0.850,0.839
17.4,1.555e+01,8.563e+01,4.915e+00,1.061e+02,0.895,0.861,0.848,0.827,0.814
18.9,1.622e+01,9.108e+01,4.738e+00,1.120e+02,0.879,0.840,0.826,0.803,0.789
20.5,1.660e+01,9.507e+01,4.751e+00,1.164e+02,0.862,0.819,0.803,0.778,0.762
22.1,1.773e+01,1.004e+02,4.357e+00,1.225e+02,0.843,0.796,0.779,0.752,0.735
23.7,1.877e+01,1.107e+02,4.174e+00,1.336e+02,0.824,0.772,0.754,0.725,0.707
25.3,1.904e+01,1.169e+02,4.060e+00,1.400e+02,0.804,0.748,0.728,0.697,0.678
26.8,2.041e+01,1.188e+02,3.516e+00,1.427e+02,0.783,0.723,0.702,0.669,0.649
28.4,2.025e+01,1.255e+02,3.346e+00,1.491e+02,0.762,0.697,0.674,0.640,0.619
30.0,2.179e+01,1.305e+02,3.702e+00,1.560e+02,0.739,0.670,0.647,0.611,0.589
31.6,2.324e+01,1.361e+02,3.637e+00,1.630e+02,0.715,0.643,0.618,0.581,0.559
33.1,2.430e+01,1.464e+02,3.673e+00,1.744e+02,0.691,0.615,0.590,0.552,0.529
34.7,2.599e+01,1.572e+02,3.622e+00,1.868e+02,0.666,0.587,0.561,0.522,0.499
36.3,2.822e+01,1.641e+02,3.240e+00,1.955e+02,0.641,0.558,0.532,0.492,0.469
37.9,3.051e+01,1.705e+02,3.094e+00,2.041e+02,0.614,0.530,0.503,0.463,0.439
39.5,3.227e+01,1.859e+02,3.069e+00,2.213e+02,0.588,0.501,0.473,0.433,0.410
41.0,3.268e+01,2.045e+02,3.070e+00,2.402e+02,0.560,0.471,0.444,0.404,0.381
42.6,3.519e+01,2.216e+02,2.811e+00,2.596e+02,0.532,0.442,0.415,0.376,0.353
44.2,4.033e+01,2.355e+02,2.711e+00,2.785e+02,0.503,0.413,0.387,0.348,0.325
45.8,4.540e+01,2.498e+02,2.727e+00,2.979e+02,0.474,0.384,0.359,0.320,0.298
47.3,5.082e+01,2.666e+02,2.592e+00,3.200e+02,0.445,0.355,0.331,0.294,0.273
48.9,5.651e+01,2.991e+02,2.535e+00,3.582e+02,0.415,0.327,0.304,0.268,0.248
50.5,6.107e+01,3.392e+02,2.644e+00,4.029e+02,0.385,0.299,0.277,0.243,0.224
52.1,6.407e+01,3.779e+02,2.831e+00,4.448e+02,0.354,0.271,0.251,0.219,0.201
53.7,6.909e+01,4.238e+02,2.700e+00,4.956e+02,0.324,0.243,0.226,0.196,0.179
55.2,8.039e+01,4.813e+02,2.573e+00,5.643e+02,0.293,0.217,0.202,0.174,0.159
56.8,9.333e+01,5.431e+02,2.246e+00,6.387e+02,0.262,0.191,0.178,0.153,0.140
58.4,1.111e+02,6.090e+02,1.905e+00,7.220e+02,0.231,0.165,0.156,0.133,0.122
60.0,1.385e+02,6.922e+02,1.668e+00,8.324e+02,0.199,0.141,0.135,0.115,0.105
61.6,1.775e+02,8.506e+02,1.412e+00,1.029e+03,0.168,0.117,0.115,0.098,0.090
63.1,2.324e+02,1.058e+03,1.244e+00,1.292e+03,0.137,0.094,0.096,0.082,0.077
64.7,3.182e+02,1.367e+03,1.493e+00,1.687e+03,0.109,0.073,0.078,0.068,0.065
66.3,4.331e+02,1.754e+03,2.749e+00,2.190e+03,0.087,0.055,0.062,0.056,0.056
67.9,5.143e+02,1.937e+03,5.902e+00,2.457e+03,0.070,0.043,0.048,0.045,0.048
69.4,5.203e+02,1.830e+03,9.525e+00,2.360e+03,0.062,0.036,0.035,0.037,0.042
71.0,4.601e+02,1.638e+03,1.119e+01,2.109e+03,0.066,0.035,0.026,0.031,0.039
72.6,3.674e+02,1.423e+03,1.123e+01,1.802e+03,0.080,0.040,0.020,0.028,0.037
74.2,3.128e+02,1.197e+03,1.149e+01,1.521e+03,0.099,0.048,0.020,0.028,0.037
75.8,3.028e+02,9.869e+02,1.490e+01,1.305e+03,0.122,0.060,0.024,0.029,0.037
77.3,2.920e+02,8.143e+02,1.906e+01,1.125e+03,0.151,0.072,0.028,0.031,0.038
78.9,2.635e+02,6.735e+02,2.409e+01,9.610e+02,0.180,0.084,0.033,0.034,0.039
80.5,2.403e+02,5.458e+02,2.734e+01,8.134e+02,0.210,0.095,0.036,0.036,0.040
82.1,2.258e+02,4.296e+02,2.790e+01,6.833e+02,0.238,0.104,0.039,0.037,0.040
83.7,2.117e+02,3.323e+02,2.607e+01,5.701e+02,0.267,0.112,0.040,0.038,0.040
85.2,1.904e+02,2.575e+02,2.166e+01,4.695e+02,0.294,0.119,0.040,0.038,0.039
86.8,1.604e+02,2.133e+02,1.660e+01,3.903e+02,0.322,0.124,0.038,0.038,0.038
88.4,1.263e+02,1.881e+02,1.571e+01,3.301e+02,0.349,0.128,0.035,0.037,0.036
90.0,9.931e+01,1.511e+02,1.709e+01,2.675e+02,0.375,0.131,0.032,0.035,0.034
91.5,8.212e+01,1.112e+02,1.785e+01,2.112e+02,0.401,0.133,0.030,0.033,0.032
93.1,6.729e+01,7.700e+01,1.761e+01,1.619e+02,0.426,0.133,0.029,0.030,0.029
94.7,5.492e+01,4.990e+01,1.542e+01,1.202e+02,0.450,0.132,0.028,0.027,0.026
96.3,4.645e+01,2.974e+01,1.240e+01,8.859e+01,0.474,0.130,0.029,0.023,0.023
97.9,4.150e+01,1.842e+01,1.181e+01,7.173e+01,0.497,0.127,0.031,0.020,0.020
