freq,psd_x,psd_y,psd_z,psd_xyz,zv(69.8),mzv(70.2),ei(84.8),2hump_ei(104.4),3hump_ei(125.4)
99.4,3.738e+01,1.193e+01,1.419e+01,6.350e+01,0.519,0.122,0.035,0.016,0.017
101.0,3.250e+01,8.429e+00,1.754e+01,5.847e+01,0.541,0.116,0.042,0.013,0.014
102.6,3.004e+01,5.542e+00,1.581e+01,5.139e+01,0.562,0.109,0.049,0.011,0.013
104.2,2.880e+01,4.824e+00,1.561e+01,4.923e+01,0.581,0.101,0.060,0.011,0.012
105.7,2.722e+01,6.039e+00,1.345e+01,4.671e+01,0.601,0.096,0.075,0.011,0.012
107.3,2.320e+01,8.794e+00,1.080e+01,4.280e+01,0.619,0.092,0.091,0.012,0.013
108.9,1.917e+01,1.251e+01,9.536e+00,4.122e+01,0.636,0.088,0.107,0.014,0.015
110.5,2.472e+01,2.034e+01,1.292e+01,5.798e+01,0.652,0.085,0.125,0.018,0.018
112.1,3.266e+01,3.005e+01,1.707e+01,7.978e+01,0.668,0.082,0.142,0.021,0.020
113.6,1.436e+01,3.233e+01,1.326e+01,5.995e+01,0.683,0.081,0.161,0.024,0.022
115.2,1.058e+01,4.072e+01,1.497e+01,6.627e+01,0.696,0.080,0.179,0.027,0.024
116.8,9.528e+00,4.951e+01,1.890e+01,7.794e+01,0.709,0.082,0.198,0.029,0.026
118.4,8.596e+00,6.057e+01,2.248e+01,9.164e+01,0.721,0.085,0.218,0.030,0.028
120.0,8.080e+00,7.573e+01,2.520e+01,1.090e+02,0.731,0.090,0.238,0.031,0.029
121.5,8.557e+00,9.373e+01,3.034e+01,1.326e+02,0.741,0.097,0.257,0.032,0.029
123.1,9.577e+00,1.132e+02,3.406e+01,1.568e+02,0.750,0.105,0.277,0.032,0.030
124.7,9.440e+00,1.390e+02,3.887e+01,1.873e+02,0.758,0.114,0.297,0.031,0.030
126.3,9.429e+00,1.721e+02,4.503e+01,2.266e+02,0.764,0.124,0.317,0.029,0.030
127.8,1.000e+01,2.189e+02,5.226e+01,2.812e+02,0.770,0.135,0.336,0.027,0.029
129.4,1.087e+01,2.806e+02,6.071e+01,3.522e+02,0.775,0.151,0.356,0.027,0.028
131.0,1.206e+01,3.544e+02,6.890e+01,4.354e+02,0.779,0.172,0.375,0.027,0.027
132.6,9.873e+00,3.057e+02,5.682e+01,3.724e+02,0.782,0.192,0.394,0.027,0.025
134.2,2.905e+00,6.218e+01,1.287e+01,7.796e+01,0.783,0.212,0.412,0.028,0.023
135.7,1.563e+00,6.802e+00,3.235e+00,1.160e+01,0.784,0.233,0.430,0.029,0.021
137.3,2.436e+00,7.916e+00,3.589e+00,1.394e+01,0.784,0.254,0.447,0.030,0.018
138.9,4.212e+00,1.108e+01,4.853e+00,2.015e+01,0.783,0.274,0.464,0.033,0.015
140.5,7.038e+00,1.626e+01,7.163e+00,3.046e+01,0.781,0.295,0.480,0.036,0.014
142.0,1.258e+01,2.328e+01,1.007e+01,4.593e+01,0.777,0.315,0.496,0.040,0.013
143.6,1.841e+01,2.877e+01,1.098e+01,5.816e+01,0.773,0.335,0.510,0.045,0.012
145.2,2.384e+01,3.379e+01,1.098e+01,6.860e+01,0.768,0.355,0.524,0.051,0.012
146.8,2.352e+01,3.458e+01,9.554e+00,6.766e+01,0.762,0.374,0.537,0.063,0.012
148.4,1.748e+01,3.290e+01,6.879e+00,5.726e+01,0.755,0.393,0.549,0.075,0.012
149.9,1.182e+01,3.514e+01,5.263e+00,5.223e+01,0.748,0.412,0.560,0.088,0.013
151.5,1.014e+01,4.008e+01,5.560e+00,5.578e+01,0.739,0.430,0.570,0.101,0.014
153.1,8.990e+00,4.374e+01,6.033e+00,5.876e+01,0.729,0.447,0.579,0.115,0.015
154.7,7.955e+00,4.250e+01,6.168e+00,5.663e+01,0.719,0.464,0.588,0.129,0.016
156.3,7.645e+00,3.800e+01,6.395e+00,5.204e+01,0.708,0.481,0.595,0.144,0.018
157.8,7.060e+00,2.985e+01,7.718e+00,4.463e+01,0.696,0.496,0.601,0.159,0.020
159.4,6.787e+00,2.232e+01,9.840e+00,3.895e+01,0.683,0.511,0.605,0.174,0.022
161.0,6.080e+00,1.695e+01,1.345e+01,3.648e+01,0.669,0.525,0.609,0.190,0.023
162.6,4.572e+00,1.314e+01,1.628e+01,3.400e+01,0.655,0.538,0.612,0.205,0.024
164.1,3.303e+00,1.007e+01,1.905e+01,3.242e+01,0.640,0.551,0.614,0.221,0.025
165.7,2.358e+00,8.645e+00,2.240e+01,3.340e+01,0.624,0.562,0.614,0.237,0.025
167.3,1.584e+00,8.382e+00,2.264e+01,3.260e+01,0.607,0.573,0.614,0.252,0.025
168.9,1.064e+00,8.545e+00,1.930e+01,2.891e+01,0.590,0.583,0.612,0.268,0.023
170.5,1.333e+00,1.223e+01,2.427e+01,3.784e+01,0.573,0.591,0.609,0.283,0.023
172.0,2.714e+00,2.174e+01,4.656e+01,7.101e+01,0.554,0.599,0.605,0.299,0.024
173.6,3.712e+00,2.600e+01,5.928e+01,8.899e+01,0.536,0.606,0.600,0.314,0.024
175.2,3.666e+00,2.595e+01,5.948e+01,8.909e+01,0.516,0.612,0.594,0.328,0.025
176.8,3.193e+00,2.575e+01,5.489e+01,8.383e+01,0.497,0.617,0.587,0.343,0.026
178.3,2.247e+00,2.262e+01,4.472e+01,6.959e+01,0.476,0.620,0.580,0.356,0.027
179.9,1.644e+00,1.827e+01,3.557e+01,5.548e+01,0.456,0.623,0.571,0.370,0.028
181.5,1.564e+00,1.432e+01,3.179e+01,4.767e+01,0.435,0.625,0.561,0.382,0.030
183.1,1.633e+00,1.171e+01,2.612e+01,3.947e+01,0.414,0.626,0.551,0.395,0.032
184.7,1.470e+00,9.465e+00,2.103e+01,3.196e+01,0.392,0.625,0.539,0.406,0.034
186.2,1.241e+00,7.713e+00,1.799e+01,2.694e+01,0.376,0.624,0.527,0.417,0.037
187.8,1.230e+00,6.756e+00,1.774e+01,2.572e+01,0.365,0.622,0.514,0.427,0.040
189.4,1.444e+00,6.672e+00,1.811e+01,2.623e+01,0.354,0.618,0.500,0.436,0.045
191.0,1.612e+00,5.824e+00,1.472e+01,2.216e+01,0.344,0.614,0.486,0.444,0.054
192.6,1.972e+00,5.366e+00,1.362e+01,2.096e+01,0.334,0.609,0.471,0.452,0.064
194.1,2.688e+00,5.205e+00,1.223e+01,2.013e+01,0.325,0.603,0.456,0.459,0.074
195.7,3.890e+00,5.579e+00,1.073e+01,2.020e+01,0.316,0.596,0.440,0.464,0.085
197.3,5.018e+00,5.922e+00,8.840e+00,1.978e+01,0.309,0.588,0.424,0.469,0.096
198.9,6.212e+00,6.301e+00,6.769e+00,1.928e+01,0.302,0.579,0.407,0.473,0.108
