freq,psd_x,psd_y,psd_z,psd_xyz,zv(73.2),mzv(74.2),ei(88.8),2hump_ei(111.0),3hump_ei(133.4)
36.2,1.081e+02,7.802e+01,2.640e+00,1.888e+02,0.669,0.595,0.563,0.534,0.511
37.8,1.134e+02,7.809e+01,2.263e+00,1.937e+02,0.645,0.568,0.535,0.506,0.483
39.4,1.206e+02,8.440e+01,2.239e+00,2.073e+02,0.620,0.541,0.507,0.478,0.455
41.0,1.255e+02,9.467e+01,2.200e+00,2.223e+02,0.594,0.513,0.480,0.450,0.427
42.5,1.313e+02,1.092e+02,2.259e+00,2.428e+02,0.568,0.486,0.452,0.423,0.400
44.1,1.378e+02,1.219e+02,2.198e+00,2.619e+02,0.542,0.458,0.424,0.396,0.373
45.7,1.460e+02,1.321e+02,2.176e+00,2.803e+02,0.515,0.431,0.397,0.369,0.347
47.3,1.608e+02,1.409e+02,2.239e+00,3.040e+02,0.487,0.403,0.370,0.343,0.321
48.8,1.752e+02,1.500e+02,2.196e+00,3.273e+02,0.459,0.376,0.343,0.317,0.296
50.4,1.902e+02,1.540e+02,2.123e+00,3.463e+02,0.431,0.349,0.317,0.293,0.272
52.0,2.163e+02,1.657e+02,2.316e+00,3.843e+02,0.403,0.322,0.291,0.268,0.248
53.6,2.413e+02,1.850e+02,2.238e+00,4.286e+02,0.374,0.295,0.266,0.245,0.226
55.2,2.698e+02,2.053e+02,2.270e+00,4.774e+02,0.345,0.269,0.242,0.222,0.204
56.7,2.920e+02,2.147e+02,2.438e+00,5.091e+02,0.315,0.243,0.218,0.200,0.184
58.3,3.249e+02,2.311e+02,2.560e+00,5.586e+02,0.286,0.218,0.195,0.179,0.164
59.9,3.827e+02,2.814e+02,2.786e+00,6.669e+02,0.256,0.193,0.173,0.160,0.146
61.5,4.639e+02,3.490e+02,2.859e+00,8.157e+02,0.227,0.169,0.152,0.141,0.129
63.0,5.410e+02,4.253e+02,2.995e+00,9.693e+02,0.197,0.146,0.132,0.123,0.113
64.6,6.260e+02,5.359e+02,3.053e+00,1.165e+03,0.167,0.123,0.113,0.106,0.098
66.2,7.555e+02,7.369e+02,3.927e+00,1.496e+03,0.138,0.102,0.095,0.091,0.085
67.8,8.995e+02,1.031e+03,7.384e+00,1.938e+03,0.111,0.081,0.078,0.077,0.073
69.3,1.090e+03,1.342e+03,1.358e+01,2.446e+03,0.090,0.061,0.063,0.064,0.062
70.9,1.383e+03,1.520e+03,1.849e+01,2.922e+03,0.073,0.048,0.049,0.053,0.054
72.5,1.662e+03,1.461e+03,1.979e+01,3.142e+03,0.063,0.039,0.037,0.043,0.047
74.1,1.745e+03,1.233e+03,1.671e+01,2.994e+03,0.064,0.035,0.027,0.036,0.042
75.6,1.594e+03,1.001e+03,1.398e+01,2.609e+03,0.075,0.036,0.021,0.030,0.039
77.2,1.362e+03,8.159e+02,1.337e+01,2.191e+03,0.092,0.042,0.020,0.028,0.037
78.8,1.134e+03,6.789e+02,1.374e+01,1.827e+03,0.112,0.050,0.022,0.028,0.037
80.4,9.643e+02,5.792e+02,1.439e+01,1.558e+03,0.138,0.062,0.027,0.029,0.037
81.9,8.104e+02,4.900e+02,1.342e+01,1.314e+03,0.166,0.074,0.031,0.031,0.038
83.5,6.551e+02,4.218e+02,1.218e+01,1.089e+03,0.194,0.085,0.035,0.033,0.039
85.1,5.202e+02,3.763e+02,1.071e+01,9.072e+02,0.221,0.095,0.038,0.035,0.040
86.7,4.045e+02,3.241e+02,9.239e+00,7.379e+02,0.248,0.103,0.039,0.037,0.040
88.2,3.068e+02,2.571e+02,8.060e+00,5.719e+02,0.275,0.111,0.040,0.038,0.040
89.8,2.222e+02,1.894e+02,6.474e+00,4.181e+02,0.302,0.118,0.039,0.038,0.039
91.4,1.506e+02,1.306e+02,5.509e+00,2.867e+02,0.328,0.123,0.037,0.038,0.039
93.0,1.059e+02,9.063e+01,5.034e+00,2.016e+02,0.353,0.127,0.034,0.038,0.037
94.5,8.243e+01,6.272e+01,4.672e+00,1.498e+02,0.378,0.131,0.032,0.036,0.036
96.1,6.669e+01,4.304e+01,4.298e+00,1.140e+02,0.403,0.133,0.030,0.034,0.034
97.7,5.661e+01,3.251e+01,3.643e+00,9.276e+01,0.427,0.133,0.029,0.032,0.031
99.3,4.303e+01,2.342e+01,4.558e+00,7.101e+01,0.450,0.133,0.028,0.030,0.029
100.8,3.122e+01,1.764e+01,7.679e+00,5.654e+01,0.472,0.132,0.029,0.027,0.026
102.4,2.209e+01,1.360e+01,6.353e+00,4.205e+01,0.494,0.129,0.031,0.023,0.023
104.0,1.539e+01,1.007e+01,8.151e+00,3.361e+01,0.516,0.125,0.035,0.020,0.020
105.6,9.788e+00,7.038e+00,9.637e+00,2.646e+01,0.536,0.121,0.041,0.016,0.017
107.2,5.691e+00,4.659e+00,9.682e+00,2.003e+01,0.556,0.115,0.048,0.013,0.015
108.7,3.059e+00,3.101e+00,8.869e+00,1.503e+01,0.575,0.108,0.057,0.012,0.013
110.3,6.264e+00,3.659e+00,1.003e+01,1.995e+01,0.594,0.100,0.071,0.011,0.012
111.9,1.782e+01,7.145e+00,1.498e+01,3.994e+01,0.611,0.096,0.086,0.011,0.012
113.5,6.843e+00,3.455e+00,8.443e+00,1.874e+01,0.628,0.092,0.102,0.012,0.013
115.0,6.370e+00,3.345e+00,6.084e+00,1.580e+01,0.644,0.088,0.118,0.013,0.014
116.6,1.005e+01,4.222e+00,5.342e+00,1.961e+01,0.660,0.085,0.134,0.016,0.016
118.2,1.434e+01,4.771e+00,4.165e+00,2.327e+01,0.674,0.083,0.152,0.019,0.019
119.8,2.106e+01,6.517e+00,3.908e+00,3.149e+01,0.687,0.081,0.169,0.022,0.021
121.3,2.915e+01,8.327e+00,4.728e+00,4.220e+01,0.700,0.080,0.187,0.025,0.023
122.9,4.117e+01,1.151e+01,5.410e+00,5.809e+01,0.712,0.081,0.206,0.027,0.025
124.5,5.981e+01,1.617e+01,5.659e+00,8.163e+01,0.723,0.084,0.224,0.029,0.026
126.1,8.488e+01,2.299e+01,6.351e+00,1.142e+02,0.733,0.088,0.243,0.030,0.028
127.6,1.171e+02,3.114e+01,7.212e+00,1.554e+02,0.742,0.093,0.262,0.031,0.029
129.2,1.615e+02,4.172e+01,7.962e+00,2.112e+02,0.750,0.100,0.281,0.032,0.029
130.8,2.223e+02,5.592e+01,8.547e+00,2.868e+02,0.758,0.108,0.300,0.032,0.030
132.4,2.189e+02,5.478e+01,7.401e+00,2.811e+02,0.764,0.117,0.319,0.031,0.030
133.9,5.664e+01,1.511e+01,3.428e+00,7.517e+01,0.770,0.127,0.337,0.029,0.030
135.5,1.189e+01,4.717e+00,2.746e+00,1.935e+01,0.774,0.138,0.356,0.027,0.029
137.1,1.422e+01,5.764e+00,3.502e+00,2.349e+01,0.778,0.155,0.374,0.027,0.028
138.7,1.697e+01,6.519e+00,4.430e+00,2.792e+01,0.781,0.174,0.392,0.027,0.027
140.2,1.896e+01,6.276e+00,4.584e+00,2.982e+01,0.783,0.193,0.410,0.027,0.026
141.8,2.697e+01,9.159e+00,3.821e+00,3.995e+01,0.784,0.213,0.427,0.027,0.024
143.4,3.703e+01,1.328e+01,3.811e+00,5.411e+01,0.784,0.232,0.443,0.028,0.022
145.0,4.044e+01,1.574e+01,4.685e+00,6.087e+01,0.783,0.252,0.459,0.029,0.020
146.5,3.841e+01,1.491e+01,6.610e+00,5.994e+01,0.782,0.271,0.475,0.031,0.017
148.1,3.428e+01,1.272e+01,8.731e+00,5.573e+01,0.779,0.290,0.490,0.034,0.015
149.7,2.593e+01,1.261e+01,9.759e+00,4.830e+01,0.776,0.310,0.504,0.037,0.014
151.3,1.878e+01,1.944e+01,9.815e+00,4.804e+01,0.771,0.329,0.518,0.041,0.013
152.8,1.382e+01,3.187e+01,9.216e+00,5.491e+01,0.766,0.347,0.530,0.045,0.012
154.4,9.200e+00,3.480e+01,1.021e+01,5.421e+01,0.760,0.366,0.542,0.052,0.012
156.0,6.335e+00,3.233e+01,1.236e+01,5.102e+01,0.754,0.384,0.553,0.063,0.012
157.6,4.878e+00,2.804e+01,1.334e+01,4.626e+01,0.746,0.402,0.564,0.074,0.012
159.2,3.990e+00,2.575e+01,1.402e+01,4.375e+01,0.737,0.419,0.573,0.086,0.013
160.7,3.345e+00,2.187e+01,1.419e+01,3.940e+01,0.728,0.436,0.582,0.098,0.013
162.3,2.704e+00,1.862e+01,1.359e+01,3.491e+01,0.718,0.452,0.589,0.111,0.014
163.9,2.119e+00,1.590e+01,1.285e+01,3.087e+01,0.708,0.468,0.596,0.124,0.015
165.5,1.647e+00,1.381e+01,1.122e+01,2.668e+01,0.696,0.483,0.601,0.138,0.017
167.0,1.456e+00,1.322e+01,1.067e+01,2.535e+01,0.684,0.498,0.606,0.152,0.019
168.6,1.275e+00,1.391e+01,1.030e+01,2.548e+01,0.671,0.512,0.609,0.166,0.021
170.2,1.097e+00,1.820e+01,9.747e+00,2.904e+01,0.657,0.525,0.612,0.180,0.023
171.8,1.139e+00,1.906e+01,7.959e+00,2.816e+01,0.643,0.538,0.614,0.195,0.024
173.3,9.656e-01,1.730e+01,6.401e+00,2.466e+01,0.628,0.550,0.614,0.210,0.025
174.9,8.619e-01,1.512e+01,5.724e+00,2.170e+01,0.613,0.561,0.614,0.224,0.025
176.5,8.140e-01,1.345e+01,5.868e+00,2.013e+01,0.597,0.571,0.612,0.239,0.025
178.1,6.896e-01,1.153e+01,6.194e+00,1.841e+01,0.580,0.580,0.610,0.254,0.024
179.6,8.137e-01,1.009e+01,7.286e+00,1.819e+01,0.563,0.589,0.607,0.269,0.024
181.2,1.240e+00,8.240e+00,1.012e+01,1.960e+01,0.545,0.596,0.602,0.283,0.023
182.8,1.729e+00,6.588e+00,1.636e+01,2.468e+01,0.527,0.603,0.597,0.298,0.024
184.4,1.863e+00,5.923e+00,1.815e+01,2.594e+01,0.509,0.609,0.591,0.312,0.024
185.9,1.759e+00,5.516e+00,1.885e+01,2.612e+01,0.490,0.614,0.584,0.326,0.025
187.5,1.776e+00,5.435e+00,1.954e+01,2.675e+01,0.471,0.618,0.576,0.339,0.025
189.1,1.879e+00,6.717e+00,2.552e+01,3.412e+01,0.451,0.621,0.567,0.352,0.026
190.7,2.302e+00,9.968e+00,3.675e+01,4.902e+01,0.431,0.624,0.557,0.365,0.028
192.2,2.915e+00,1.102e+01,3.986e+01,5.380e+01,0.411,0.625,0.547,0.377,0.029
193.8,3.260e+00,1.103e+01,3.971e+01,5.400e+01,0.390,0.626,0.536,0.389,0.031
195.4,3.738e+00,1.049e+01,3.796e+01,5.219e+01,0.376,0.625,0.524,0.400,0.033
197.0,4.798e+00,1.014e+01,3.448e+01,4.941e+01,0.365,0.624,0.512,0.410,0.035
198.5,5.756e+00,9.536e+00,3.080e+01,4.609e+01,0.355,0.622,0.499,0.420,0.038
