freq,psd_x,psd_y,psd_z,psd_xyz,zv(73.2),mzv(74.2),ei(88.8),2hump_ei(111.0),3hump_ei(133.4)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.997,0.995,0.994,0.993,0.992
3.2,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.992,0.989,0.987,0.985,0.983
4.7,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.986,0.981,0.978,0.975,0.972
6.3,5.520e+01,3.739e+01,1.243e+01,1.050e+02,0.979,0.972,0.968,0.963,0.959
7.9,6.071e+01,4.219e+01,1.032e+01,1.132e+02,0.972,0.961,0.957,0.950,0.945
9.5,6.200e+01,4.407e+01,8.875e+00,1.149e+02,0.963,0.950,0.944,0.935,0.929
11.0,5.926e+01,4.384e+01,7.463e+00,1.106e+02,0.953,0.937,0.929,0.920,0.912
12.6,5.933e+01,4.230e+01,5.864e+00,1.075e+02,0.942,0.922,0.913,0.902,0.894
14.2,6.145e+01,4.287e+01,5.794e+00,1.101e+02,0.930,0.907,0.896,0.884,0.874
15.8,6.218e+01,4.521e+01,5.176e+00,1.126e+02,0.917,0.890,0.878,0.864,0.853
17.3,6.544e+01,4.700e+01,4.762e+00,1.172e+02,0.903,0.873,0.859,0.843,0.831
18.9,6.915e+01,4.709e+01,4.585e+00,1.208e+02,0.888,0.854,0.839,0.821,0.808
20.5,7.075e+01,4.985e+01,4.092e+00,1.247e+02,0.872,0.834,0.817,0.798,0.784
22.1,7.371e+01,5.212e+01,3.910e+00,1.297e+02,0.856,0.814,0.795,0.774,0.759
23.6,7.812e+01,5.791e+01,3.624e+00,1.397e+02,0.838,0.792,0.771,0.749,0.733
25.2,8.233e+01,6.171e+01,3.165e+00,1.472e+02,0.820,0.770,0.747,0.724,0.706
26.8,8.659e+01,6.286e+01,3.080e+00,1.525e+02,0.801,0.747,0.723,0.698,0.679
28.4,8.787e+01,6.268e+01,3.207e+00,1.538e+02,0.780,0.723,0.697,0.672,0.652
29.9,8.695e+01,6.691e+01,3.167e+00,1.570e+02,0.760,0.698,0.671,0.645,0.624
31.5,8.951e+01,7.316e+01,3.011e+00,1.657e+02,0.738,0.673,0.645,0.617,0.596
33.1,9.473e+01,7.662e+01,2.530e+00,1.739e+02,0.716,0.647,0.618,0.590,0.568
34.7,1.012e+02,7.706e+01,2.703e+00,1.810e+02,0.693,0.621,0.590,0.562,0.539
